Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Aruba;ABW;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.9661590524535;20.1619433198381;23.5959153902261;21.9724924521972;21.8547341115435;21.4195402984363;24.8419722988295;24.8902241079819;24.4446509390647;22.8866788053061;22.8359748330604;22.3230008475629;21.4144525595569;21.2483204015552;24.8330340013432;26.4651444384815;25.1084551379907;26.1779453788038;26.1933038710376;24.8237406320455;23.2556955609808;23.4875270259162;23.021623543388;23.0710204165153;22.4985522696464;28.5514839909581;22.8317058472403;21.2077650789821;19.5624740562885;
Africa Eastern and Southern;AFE;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;5.97080142214141;6.3959621221093;6.78267462875204;6.18694386985929;7.56941268818448;7.58664218795663;7.65229557074199;8.00462204578716;8.19452847290508;8.24826360778419;9.11535957733325;9.71432654720361;9.25847526335753;8.83089741804049;9.04624620667932;9.99041201490209;10.2855062842623;10.0357397621555;10.6903507645437;11.4614649906047;12.2553280313204;12.4107567032325;12.6299150841486;12.5892048477328;13.6682241424419;12.966823549994;14.116188414803;15.5097599079249;14.7830279576628;14.1044004846088;14.5535591105056;14.9010826035533;16.996975661325;16.7735727493296;17.4370477576582;16.0688640862394;16.4178355380341;16.326490003985;16.3934048178766;16.3358038932901;15.3376149207484;15.6160611271779;15.0931021765358;15.9762797528301;15.8906765080417;15.0534219161295;14.5950632332374;14.6444183805579;14.884073799567;15.5534708028079;15.5541831795362;16.0036692858443;16.1676465001107;16.4956587819237;16.0074302007076;15.4636628202329;15.3936158832339;15.4726580433572;14.8672140757652;14.6164181000572;15.175005715421;14.6827375950211;14.3640354977102;13.9853417122886;14.0776822872541
Afghanistan;AFG;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.1092193573017;21.2623843883974;21.8454919236646;21.2145146604881;
Africa Western and Central;AFW;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.1305785372378;21.8542597859949;14.3120629446155;16.0290371753303;15.3417224061598;15.5369347037304;16.8146115372764;19.8985860825078;17.0423458554536;18.2358592210108;17.8426333032037;21.6219487315047;17.9756586545567;16.4328328348133;13.8806850814508;12.9358193168237;10.4745435629873;8.59885628389892;8.64793565020863;7.68345467585382;8.09626587411972;5.17178248225276;6.26678930309017
Albania;ALB;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;9.3116515041052;8.84353390708875;8.89861279321276;9.09399523742266;9.75153050082957;9.63955140756505;9.61342983715576;9.99617333989332;9.80506206927652;9.13190329724955;19.1885468896252;22.8753325986112;21.4082882933696;14.6384098004022;14.6234019156112;10.0145358633844;9.59940257545617;10.5565146074516;10.9090460292713;11.147365193997;9.73155830514379;10.5939074940139;11.2361484858024;11.0505142453075;11.1885774385069;11.0832938282823;10.554951865021;10.3858870895021;10.7049766567384;11.5158448272289;11.6894266755022;11.8730326134018;11.7429129944326;11.7676839794264;12.2746384670784;11.6995817212428;12.1050326390236;11.851016747215;11.8666140811981;12.6759912713341;13.6673333207542;12.8352254087666;12.0411716018624;12.0464694929138;12.8229406224379
Andorra;AND;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;18.4830251731375;18.8769471782994;18.6173022475529;18.5875827751899;18.5704738659234;17.5390744050982;12.6131772916886;16.1973052162927;16.9805923935417;16.8357140974509;19.6962170770241;17.8388484045678;15.4399825095064;18.7841594057727;22.5604789467218;24.5675228087217;23.7357163140761;23.5242340322986;25.8955153867998;24.9670093945936;24.1878105885317;23.5844075208841;17.8057580124462;22.7631135690973;22.6380936364907;20.0679979050815;18.9224284861959;17.951719972763;17.9077375587455;18.45225264817;19.2611307100027;17.5671476283961;16.9620122720461;17.8673540170391;17.9219782928982;17.0256510732026;16.6695281844947;15.4215390300511;14.7912311927721;14.5025293222835;13.3597985661346;16.5457729716228;15.5807303961023;16.1658185588235;16.0219848101012;17.1784232958197;18.4858551827351;20.2669112109247;19.1329820282417;18.503396584833;18.0278823007439;18.4200446485395;20.5835993933211;17.5397424973511;15.5358626644939;16.9931990037174;
United Arab Emirates;ARE;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.91402351533425;10.146486288123;9.75023354253255;8.74669751420651;7.87259315554192;6.91782205479066;6.73299787689361;7.2968356174588;10.2341429132446;9.6834896681256;9.67287337600639;9.47695082659592;10.7069213443986;10.6423158320926;12.0210761018591;12.1122932563166;13.0457765453002;12.5099814482741;13.087529585058;15.1795645383213;14.6108935200217;12.6475207729689;12.4192015319664;
Argentina;ARG;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;9.88044509523395;7.78963204832989;12.1923745358372;10.2521949603684;7.22902581011462;8.08948631250583;10.8043385563998;9.73927816603499;9.82935062849218;9.50117537009171;9.74254326207249;10.1462160701663;9.3516969606052;11.5393235681285;13.1532327349931;12.5891776401825;9.42009472768441;9.01540997692467;11.1661116654098;11.0078459559273;;;;;;;;4.7144944990421;4.32191028434568;4.49439596541391;3.13542839161188;3.32176128752774;2.97553802761558;13.5103784728742;13.1869043660659;13.3494556774505;12.5016776609201;12.0620142457633;12.4947749986829;13.7232114149469;13.7841913064131;14.1562743129569;12.235247296692;11.4380567929249;11.114636067696;12.1418612359575;12.4294153726307;12.9893238963619;13.6335132595631;15.903896746884;15.1637178886417;15.6889565165983;16.6454378106252;16.8062377968797;16.9498757371062;18.098379759087;17.6545781863509;17.6968939223042;15.8050971558947;16.4432415862976;16.8730073837365;15.9158179423023;15.8356571842994;16.3874689950096;15.0308136208788
Armenia;ARM;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.3064997018485;18.5092232400552;18.5466971855959;17.1936819797033;11.5430460348078;11.3229912230238;11.3430091616755;11.4771831087164;11.2920970499034;12.230469548754;10.7986680994975;10.3413384803578;9.16904182303383;9.38479580771821;9.3562321018201;9.71001179777312;9.26564058035311;9.39819198234112;9.39590568718206;12.2837259772012;12.0437077284519;11.9102932556784;10.9099638916146;11.9350654316666;12.0858534859076;13.1115978061212;13.4541585167703;12.3185519874739;11.4866903221706;12.5645600985114;14.9686182373692;13.649850256969;11.6764818949578;14.146579323878;10.7332822502691
American Samoa;ASM;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;11.0930540508005;11.3172119487909;11.9680701557142;11.6778453699371;11.3688767587408;11.8866948348711;12.8040027888283;12.7736286376513;13.6019719949331;13.0518409965195;13.1685904730938;13.9028558690214;14.4091766184789;14.6080044960058;14.445935424018;16.7915684293252;17.8766391918319;17.4564731562809;17.8328367869483;17.3620876946267;17.2144056338865;17.809792596482;17.7391106562038;18.6522643521598;18.3164633375918;19.2464639516269;19.4250119789171;19.3664750703645;18.4585097140322;17.7834799608993;17.6415791333398;18.63184151474;19.4960782460782;19.3760425366196;18.8128593686042;18.6412716851603;18.5846429563925;18.2705936245318;18.262337926821;18.7307315614009;18.5380745283503;18.5426391217441;18.3484346536303;18.4107243359548;18.3022813622208;18.3815949567882;18.3072975284743;18.1722516420682;18.0939091867019;18.4307470583246;18.8355329435523;18.6655613196208;18.8983020353986;18.853734962801;18.7777654809849;19.1888755144951;19.9735933226935;19.9482833661896;20.0168291219813;20.3713413159323;21.8946914788236;22.4227187171293;22.0784275525044;21.3138550807727;22.2288739416439
Austria;AUT;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;14.3716906895532;14.4496086351805;14.3005844694706;14.7444983765352;15.4088946477096;16.8560002227135;17.2493328215584;17.0777990122511;17.7256431659292;17.5909958436023;17.6030931899759;18.0353468833493;18.4188221221471;18.4184640717763;18.4610404120009;18.6508968882493;18.8593075512545;18.8258204002414;18.5863052916521;18.2574981773408;18.0463589294257;18.2291968557384;18.5626189584472;19.3763102383694;19.5208265345441;19.666689628253;19.6734069943384;19.6994349775578;19.6604112826844;19.9204421915907;19.3282687281008;19.0757989319958;18.9765669389252;19.088358925098;19.0332382539184;19.4781411306907;19.3952174935544;18.8623416708543;19.3986351091914;20.812093929858;20.6211987878032;20.0232182516466;19.9901506497011;20.0845066022548;19.9847608163281;19.8879548545364;19.7584191442748;19.598940636538;19.4423168006638;19.5313211345866;21.1529340170726;21.7317656146414;20.5524888096447;20.4654125213615;
Azerbaijan;AZE;General government final consumption expenditure (% of GDP);NE.CON.GOVT.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.5989085948158;19.4236526946108;17.7195493869422;30.140127388535;23.5111822791567;12.7940762958103;12.017858449828;12.6112148940886;15.1572400162762;15.6128314481736;15.1501663805345;13.6466250282188;12.4041237113402;12.3892814664521;12.9000492368291;10.4220403274107;8.53986407912003;9.66026692054089;8.49511176664042;11.1234077215848;10.8814317673378;10.1276832686917;10.5259600648111;10.2832491148465;10.8858730371216;12.4082383229128;12.8320634437288;11.3414124411056;10.4664635668981;11.1234709302752;16.2189420775689;13.867442319577;11.6421479898517;13.81500937233;14.3667334193467
